sample_id,slope_angle,slope_height,rock_type,fracture_density,rainfall_24h,days_since_blast,risk_score,risk_percentage,risk_category,risk_message,timestamp
2996,52.2,349.8,Granite,High,10.2,2,0.316603,31.66,Low,Safe operations,2025-09-28T00:33:43.003892
2997,61.4,301.5,Sandstone,Medium,9.7,13,0.31816,31.82,Low,Safe operations,2025-09-28T00:33:43.003920
2998,41.7,444.5,Sandstone,Low,55.0,5,0.377705,37.77,Low,Safe operations,2025-09-28T00:33:43.003950
2999,60.1,154.8,Sandstone,Medium,11.1,0,0.46515,46.52,Medium,Caution advised,2025-09-28T00:33:43.003996
3000,61.6,718.7,Limestone,Medium,4.7,14,0.390729,39.07,Low,Safe operations,2025-09-28T00:33:43.004057
3001,60.1,593.9,Limestone,Medium,56.5,29,0.424694,42.47,Medium,Caution advised,2025-09-28T00:33:43.004096
3002,57.3,771.1,Limestone,High,44.1,27,0.492278,49.23,Medium,Caution advised,2025-09-28T00:33:43.004141
3003,63.0,552.6,Granite,High,11.3,16,0.342782,34.28,Low,Safe operations,2025-09-28T00:33:43.004175
3004,53.9,440.9,Sandstone,Low,13.2,4,0.340822,34.08,Low,Safe operations,2025-09-28T00:33:43.004204
3005,34.6,543.0,Sandstone,Medium,6.1,6,0.35238,35.24,Low,Safe operations,2025-09-28T00:33:43.004253
3006,86.2,540.0,Sandstone,Low,9.1,4,0.624483,62.45,Medium,Caution advised,2025-09-28T00:33:43.004299
3007,71.1,308.9,Shale,Medium,52.9,15,0.481783,48.18,Medium,Caution advised,2025-09-28T00:33:43.004328
3008,65.4,458.2,Granite,Medium,55.9,12,0.367179,36.72,Low,Safe operations,2025-09-28T00:33:43.004368
3009,63.7,379.9,Granite,Medium,10.4,10,0.262382,26.24,Low,Safe operations,2025-09-28T00:33:43.004394
3010,70.5,351.4,Shale,High,12.6,0,0.640681,64.07,Medium,Caution advised,2025-09-28T00:33:43.004421
3011,66.0,767.7,Granite,Low,6.1,29,0.347104,34.71,Low,Safe operations,2025-09-28T00:33:43.004464
3012,51.5,517.1,Limestone,Low,12.8,22,0.235773,23.58,Low,Safe operations,2025-09-28T00:33:43.004490
3013,45.4,398.6,Limestone,Medium,12.3,28,0.226588,22.66,Low,Safe operations,2025-09-28T00:33:43.004518
3014,62.0,717.1,Granite,High,35.9,6,0.475151,47.52,Medium,Caution advised,2025-09-28T00:33:43.004559
3015,54.7,266.6,Shale,Low,1.1,4,0.33432,33.43,Low,Safe operations,2025-09-28T00:33:43.004585
3016,71.0,323.5,Sandstone,Low,6.1,3,0.472609,47.26,Medium,Caution advised,2025-09-28T00:33:43.004611
3017,58.3,543.4,Shale,Medium,59.9,27,0.510292,51.03,Medium,Caution advised,2025-09-28T00:33:43.004637
3018,64.7,322.5,Sandstone,Medium,8.1,29,0.335831,33.58,Low,Safe operations,2025-09-28T00:33:43.004663
3019,34.5,738.3,Sandstone,High,0.7,29,0.426543,42.65,Medium,Caution advised,2025-09-28T00:33:43.004714
3020,51.1,463.6,Limestone,High,41.0,11,0.35964,35.96,Low,Safe operations,2025-09-28T00:33:43.004741
3021,44.2,320.9,Granite,Low,42.6,15,0.164571,16.46,Low,Safe operations,2025-09-28T00:33:43.004766
3022,42.4,290.8,Sandstone,High,2.2,24,0.293312,29.33,Low,Safe operations,2025-09-28T00:33:43.004792
3023,73.3,343.2,Sandstone,High,13.8,7,0.47079,47.08,Medium,Caution advised,2025-09-28T00:33:43.004819
3024,63.4,311.3,Shale,Low,10.5,0,0.503185,50.32,Medium,Caution advised,2025-09-28T00:33:43.004845
3025,48.3,789.0,Limestone,Medium,59.1,10,0.481994,48.2,Medium,Caution advised,2025-09-28T00:33:43.004887
3026,57.7,474.5,Limestone,Medium,8.7,7,0.322956,32.3,Low,Safe operations,2025-09-28T00:33:43.004913
3027,86.9,393.8,Shale,Medium,37.6,22,0.566219,56.62,Medium,Caution advised,2025-09-28T00:33:43.004954
3028,55.7,796.0,Shale,Medium,58.9,18,0.594255,59.43,Medium,Caution advised,2025-09-28T00:33:43.004994
3029,85.0,504.6,Limestone,Medium,50.9,19,0.518302,51.83,Medium,Caution advised,2025-09-28T00:33:43.005034
3030,71.5,406.5,Sandstone,Low,0.3,21,0.34647,34.65,Low,Safe operations,2025-09-28T00:33:43.005067
3031,54.4,278.7,Granite,Low,4.0,7,0.171133,17.11,Low,Safe operations,2025-09-28T00:33:43.005101
3032,56.4,536.1,Shale,Low,10.3,7,0.393808,39.38,Low,Safe operations,2025-09-28T00:33:43.005249
3033,58.2,527.1,Shale,Low,58.1,5,0.504952,50.5,Medium,Caution advised,2025-09-28T00:33:43.005384
3034,83.5,499.7,Limestone,Low,13.5,28,0.394867,39.49,Low,Safe operations,2025-09-28T00:33:43.005454
3035,73.0,419.0,Limestone,Medium,7.5,12,0.350882,35.09,Low,Safe operations,2025-09-28T00:33:43.005486
3036,44.3,581.3,Limestone,Low,11.6,11,0.246608,24.66,Low,Safe operations,2025-09-28T00:33:43.005514
3037,45.0,338.4,Shale,Medium,9.4,10,0.323025,32.3,Low,Safe operations,2025-09-28T00:33:43.005541
3038,74.5,345.1,Limestone,High,51.3,29,0.600429,60.04,Medium,Caution advised,2025-09-28T00:33:43.005569
3039,67.8,393.1,Shale,Medium,8.0,27,0.409911,40.99,Medium,Caution advised,2025-09-28T00:33:43.005597
3040,55.5,400.5,Granite,Low,10.3,23,0.172936,17.29,Low,Safe operations,2025-09-28T00:33:43.005623
3041,62.9,561.3,Sandstone,Medium,5.2,21,0.397371,39.74,Low,Safe operations,2025-09-28T00:33:43.005651
3042,58.5,535.6,Sandstone,Medium,0.3,4,0.428976,42.9,Medium,Caution advised,2025-09-28T00:33:43.005679
3043,74.8,443.3,Limestone,High,33.0,4,0.646957,64.7,Medium,Caution advised,2025-09-28T00:33:43.005706
3044,62.8,464.1,Sandstone,Low,14.8,15,0.325518,32.55,Low,Safe operations,2025-09-28T00:33:43.005733
3045,89.1,454.6,Granite,Medium,13.0,3,0.49485,49.48,Medium,Caution advised,2025-09-28T00:33:43.005800
3046,74.1,583.5,Limestone,Medium,50.5,25,0.47414,47.41,Medium,Caution advised,2025-09-28T00:33:43.005830
3047,40.3,553.1,Sandstone,High,52.9,15,0.44252,44.25,Medium,Caution advised,2025-09-28T00:33:43.005857
3048,44.1,543.7,Sandstone,Low,4.5,4,0.340281,34.03,Low,Safe operations,2025-09-28T00:33:43.005884
3049,59.7,288.5,Sandstone,Low,2.0,9,0.28004,28.0,Low,Safe operations,2025-09-28T00:33:43.005910
3050,41.0,322.1,Limestone,Medium,14.9,12,0.204089,20.41,Low,Safe operations,2025-09-28T00:33:43.005936
3051,53.1,349.0,Limestone,Medium,12.8,4,0.297161,29.72,Low,Safe operations,2025-09-28T00:33:43.005962
3052,51.2,510.4,Limestone,Low,12.3,3,0.302129,30.21,Low,Safe operations,2025-09-28T00:33:43.005988
3053,40.5,397.7,Sandstone,Medium,13.2,1,0.365563,36.56,Low,Safe operations,2025-09-28T00:33:43.006015
3054,45.1,783.1,Granite,Medium,6.4,3,0.389492,38.95,Low,Safe operations,2025-09-28T00:33:43.006060
3055,48.4,319.6,Limestone,Low,2.9,19,0.165194,16.52,Low,Safe operations,2025-09-28T00:33:43.006087
3056,58.0,589.6,Sandstone,High,10.2,3,0.502993,50.3,Medium,Caution advised,2025-09-28T00:33:43.006114
3057,32.1,350.4,Shale,Low,53.7,25,0.323554,32.36,Low,Safe operations,2025-09-28T00:33:43.006157
3058,70.9,716.8,Limestone,Medium,12.8,8,0.468675,46.87,Medium,Caution advised,2025-09-28T00:33:43.006199
3059,53.5,366.2,Shale,Low,44.6,27,0.348403,34.84,Low,Safe operations,2025-09-28T00:33:43.006229
3060,70.4,292.2,Shale,Medium,11.6,22,0.400403,40.04,Medium,Caution advised,2025-09-28T00:33:43.006258
3061,74.5,448.7,Sandstone,Medium,55.7,16,0.507643,50.76,Medium,Caution advised,2025-09-28T00:33:43.006284
3062,74.9,322.8,Sandstone,Medium,53.4,2,0.62796,62.8,Medium,Caution advised,2025-09-28T00:33:43.006312
3063,47.6,407.8,Limestone,High,8.2,24,0.277666,27.77,Low,Safe operations,2025-09-28T00:33:43.006339
3064,70.5,581.8,Limestone,High,27.2,2,0.527503,52.75,Medium,Caution advised,2025-09-28T00:33:43.006365
3065,47.9,525.6,Sandstone,High,8.2,9,0.396277,39.63,Low,Safe operations,2025-09-28T00:33:43.006391
3066,65.8,480.3,Granite,Medium,36.2,8,0.348177,34.82,Low,Safe operations,2025-09-28T00:33:43.006417
3067,57.9,505.4,Limestone,Medium,37.5,13,0.337145,33.71,Low,Safe operations,2025-09-28T00:33:43.006443
3068,55.4,377.8,Limestone,Medium,13.4,29,0.253058,25.31,Low,Safe operations,2025-09-28T00:33:43.006468
3069,63.6,576.4,Sandstone,High,13.4,23,0.455111,45.51,Medium,Caution advised,2025-09-28T00:33:43.006494
3070,51.2,373.1,Sandstone,High,11.7,25,0.341076,34.11,Low,Safe operations,2025-09-28T00:33:43.006520
3071,31.6,479.4,Limestone,High,13.2,29,0.27504,27.5,Low,Safe operations,2025-09-28T00:33:43.006563
3072,63.4,312.5,Limestone,Low,10.3,4,0.283726,28.37,Low,Safe operations,2025-09-28T00:33:43.006589
3073,73.9,512.1,Shale,Low,13.8,1,0.607736,60.77,Medium,Caution advised,2025-09-28T00:33:43.006617
3074,40.0,366.8,Limestone,Medium,3.5,3,0.272034,27.2,Low,Safe operations,2025-09-28T00:33:43.006643
3075,56.9,538.6,Limestone,Low,37.7,10,0.31271,31.27,Low,Safe operations,2025-09-28T00:33:43.006669
3076,47.1,444.3,Granite,Medium,4.8,2,0.280012,28.0,Low,Safe operations,2025-09-28T00:33:43.006696
3077,60.2,581.6,Shale,Medium,2.1,4,0.572317,57.23,Medium,Caution advised,2025-09-28T00:33:43.006721
3078,64.3,342.1,Sandstone,Medium,10.0,1,0.509218,50.92,Medium,Caution advised,2025-09-28T00:33:43.006753
3079,69.6,260.7,Limestone,Low,5.9,2,0.320642,32.06,Low,Safe operations,2025-09-28T00:33:43.006783
3080,32.0,478.9,Sandstone,Low,6.7,5,0.292988,29.3,Low,Safe operations,2025-09-28T00:33:43.006829
3081,47.5,591.8,Sandstone,High,53.6,7,0.510252,51.03,Medium,Caution advised,2025-09-28T00:33:43.006856
3082,31.5,156.8,Granite,High,6.9,27,0.156291,15.63,Low,Safe operations,2025-09-28T00:33:43.006908
3083,57.3,479.5,Granite,High,46.7,24,0.350799,35.08,Low,Safe operations,2025-09-28T00:33:43.006938
3084,45.9,336.0,Limestone,High,13.2,8,0.284977,28.5,Low,Safe operations,2025-09-28T00:33:43.006965
3085,56.5,160.2,Limestone,Medium,5.3,15,0.208353,20.84,Low,Safe operations,2025-09-28T00:33:43.007008
3086,68.7,378.4,Sandstone,Medium,5.1,15,0.369692,36.97,Low,Safe operations,2025-09-28T00:33:43.007036
3087,52.4,373.5,Limestone,Medium,10.6,8,0.267411,26.74,Low,Safe operations,2025-09-28T00:33:43.007062
3088,59.7,583.5,Shale,Low,0.7,7,0.420747,42.07,Medium,Caution advised,2025-09-28T00:33:43.007088
3089,46.5,449.4,Sandstone,High,56.1,14,0.432509,43.25,Medium,Caution advised,2025-09-28T00:33:43.007115
3090,43.6,535.9,Limestone,High,4.7,18,0.306193,30.62,Low,Safe operations,2025-09-28T00:33:43.007140
3091,49.3,386.7,Granite,Low,45.3,26,0.201868,20.19,Low,Safe operations,2025-09-28T00:33:43.007166
3092,53.6,516.8,Shale,Low,17.3,27,0.346859,34.69,Low,Safe operations,2025-09-28T00:33:43.007192
3093,70.3,746.0,Sandstone,Medium,9.2,23,0.506561,50.66,Medium,Caution advised,2025-09-28T00:33:43.007236
3094,63.2,123.6,Limestone,Medium,45.9,4,0.351311,35.13,Low,Safe operations,2025-09-28T00:33:43.007278
3095,46.7,365.7,Shale,Medium,48.9,21,0.382994,38.3,Low,Safe operations,2025-09-28T00:33:43.007305
3096,72.2,472.9,Limestone,Low,7.3,0,0.412093,41.21,Medium,Caution advised,2025-09-28T00:33:43.007335
3097,32.1,715.4,Limestone,Medium,22.8,23,0.324895,32.49,Low,Safe operations,2025-09-28T00:33:43.007394
3098,43.6,261.6,Limestone,Low,0.2,19,0.139445,13.94,Low,Safe operations,2025-09-28T00:33:43.007425
3099,70.1,286.0,Sandstone,Low,6.4,3,0.459479,45.95,Medium,Caution advised,2025-09-28T00:33:43.007456
3100,59.5,489.2,Sandstone,Low,9.1,21,0.31482,31.48,Low,Safe operations,2025-09-28T00:33:43.007487
3101,48.4,257.2,Limestone,High,10.5,13,0.246165,24.62,Low,Safe operations,2025-09-28T00:33:43.007517
3102,40.9,145.5,Sandstone,Medium,6.2,10,0.236336,23.63,Low,Safe operations,2025-09-28T00:33:43.007565
3103,48.9,368.2,Sandstone,Low,1.4,2,0.31797,31.8,Low,Safe operations,2025-09-28T00:33:43.007598
3104,59.5,366.5,Granite,Medium,4.9,3,0.291943,29.19,Low,Safe operations,2025-09-28T00:33:43.007625
3105,53.7,572.5,Limestone,Medium,1.4,25,0.302971,30.3,Low,Safe operations,2025-09-28T00:33:43.007652
3106,40.3,332.2,Limestone,Medium,28.3,21,0.216082,21.61,Low,Safe operations,2025-09-28T00:33:43.007678
3107,69.6,328.0,Granite,Low,11.4,22,0.219224,21.92,Low,Safe operations,2025-09-28T00:33:43.007703
3108,71.2,169.5,Shale,High,25.3,15,0.440922,44.09,Medium,Caution advised,2025-09-28T00:33:43.007750
3109,62.6,405.6,Limestone,Low,9.3,21,0.24332,24.33,Low,Safe operations,2025-09-28T00:33:43.007784
3110,47.3,506.3,Sandstone,Medium,14.4,3,0.39538,39.54,Low,Safe operations,2025-09-28T00:33:43.007813
3111,51.3,354.1,Sandstone,High,28.9,6,0.398853,39.89,Low,Safe operations,2025-09-28T00:33:43.007840
3112,44.9,473.5,Limestone,Low,11.7,4,0.262577,26.26,Low,Safe operations,2025-09-28T00:33:43.007866
3113,61.4,417.8,Sandstone,Medium,40.4,2,0.548833,54.88,Medium,Caution advised,2025-09-28T00:33:43.007893
3114,43.9,312.5,Limestone,High,0.1,4,0.301789,30.18,Low,Safe operations,2025-09-28T00:33:43.007918
3115,56.4,506.8,Limestone,High,48.3,5,0.451971,45.2,Medium,Caution advised,2025-09-28T00:33:43.007945
3116,65.0,465.8,Sandstone,High,4.7,29,0.420878,42.09,Medium,Caution advised,2025-09-28T00:33:43.007972
3117,55.2,291.2,Sandstone,Low,14.5,3,0.316326,31.63,Low,Safe operations,2025-09-28T00:33:43.008006
3118,57.3,503.2,Limestone,High,5.5,24,0.339023,33.9,Low,Safe operations,2025-09-28T00:33:43.008032
3119,34.2,264.6,Limestone,High,11.5,11,0.228483,22.85,Low,Safe operations,2025-09-28T00:33:43.008077
3120,47.4,502.9,Limestone,Medium,7.2,1,0.350227,35.02,Low,Safe operations,2025-09-28T00:33:43.008105
3121,46.6,565.2,Granite,Medium,13.9,9,0.26471,26.47,Low,Safe operations,2025-09-28T00:33:43.008132
3122,53.0,580.5,Limestone,Low,3.5,0,0.35864,35.86,Low,Safe operations,2025-09-28T00:33:43.008158
3123,44.3,467.0,Sandstone,High,13.9,2,0.42956,42.96,Medium,Caution advised,2025-09-28T00:33:43.008186
3124,61.5,552.0,Sandstone,High,28.6,22,0.455031,45.5,Medium,Caution advised,2025-09-28T00:33:43.008212
3125,74.4,168.4,Limestone,High,8.3,26,0.343351,34.34,Low,Safe operations,2025-09-28T00:33:43.008256
3126,31.1,545.5,Limestone,Medium,11.5,16,0.250432,25.04,Low,Safe operations,2025-09-28T00:33:43.008300
3127,48.9,438.3,Shale,Low,5.7,18,0.299217,29.92,Low,Safe operations,2025-09-28T00:33:43.008330
3128,62.9,372.2,Shale,Medium,51.3,12,0.456937,45.69,Medium,Caution advised,2025-09-28T00:33:43.008358
3129,57.9,295.5,Shale,Medium,10.0,1,0.429958,43.0,Medium,Caution advised,2025-09-28T00:33:43.008384
3130,41.3,542.1,Shale,Low,3.3,15,0.313009,31.3,Low,Safe operations,2025-09-28T00:33:43.008411
3131,34.7,329.8,Granite,High,36.9,14,0.22795,22.8,Low,Safe operations,2025-09-28T00:33:43.008453
3132,53.0,506.2,Granite,Medium,6.6,27,0.239133,23.91,Low,Safe operations,2025-09-28T00:33:43.008479
3133,65.5,542.4,Limestone,Medium,10.6,18,0.345831,34.58,Low,Safe operations,2025-09-28T00:33:43.008507
3134,45.9,561.6,Granite,Medium,14.3,4,0.301026,30.1,Low,Safe operations,2025-09-28T00:33:43.008533
3135,58.5,271.0,Sandstone,Medium,10.0,8,0.325512,32.55,Low,Safe operations,2025-09-28T00:33:43.008559
3136,52.5,283.3,Sandstone,Low,13.6,13,0.236591,23.66,Low,Safe operations,2025-09-28T00:33:43.008585
3137,83.7,251.7,Granite,Low,13.2,24,0.289453,28.95,Low,Safe operations,2025-09-28T00:33:43.008626
3138,66.6,551.9,Sandstone,Medium,5.7,24,0.412556,41.26,Medium,Caution advised,2025-09-28T00:33:43.008653
3139,42.2,568.6,Granite,High,53.6,5,0.405042,40.5,Medium,Caution advised,2025-09-28T00:33:43.008680
3140,46.4,322.7,Sandstone,Medium,11.2,4,0.329033,32.9,Low,Safe operations,2025-09-28T00:33:43.008706
3141,71.8,796.8,Limestone,Low,4.2,16,0.429321,42.93,Medium,Caution advised,2025-09-28T00:33:43.008752
3142,62.2,256.4,Sandstone,High,1.2,6,0.396006,39.6,Low,Safe operations,2025-09-28T00:33:43.008786
3143,53.2,720.4,Limestone,High,36.4,14,0.438766,43.88,Medium,Caution advised,2025-09-28T00:33:43.008834
3144,50.0,576.9,Shale,Low,1.4,19,0.347269,34.73,Low,Safe operations,2025-09-28T00:33:43.008864
3145,73.8,443.2,Sandstone,Medium,6.0,22,0.4164,41.64,Medium,Caution advised,2025-09-28T00:33:43.008900
3146,70.2,497.0,Limestone,Medium,51.9,2,0.506355,50.64,Medium,Caution advised,2025-09-28T00:33:43.008928
3147,63.4,334.2,Shale,Medium,58.5,29,0.465781,46.58,Medium,Caution advised,2025-09-28T00:33:43.008958
3148,45.9,410.9,Sandstone,Medium,2.6,1,0.376851,37.69,Low,Safe operations,2025-09-28T00:33:43.008990
3149,64.1,564.1,Limestone,Low,10.1,25,0.301418,30.14,Low,Safe operations,2025-09-28T00:33:43.009016
3150,52.7,413.0,Sandstone,High,5.8,16,0.354085,35.41,Low,Safe operations,2025-09-28T00:33:43.009042
3151,54.9,278.1,Sandstone,Medium,5.7,19,0.282855,28.29,Low,Safe operations,2025-09-28T00:33:43.009068
3152,34.4,285.4,Limestone,Medium,5.9,29,0.175496,17.55,Low,Safe operations,2025-09-28T00:33:43.009111
3153,86.5,539.4,Limestone,Low,36.5,25,0.460738,46.07,Medium,Caution advised,2025-09-28T00:33:43.009155
3154,53.1,585.8,Sandstone,Low,3.4,4,0.381159,38.12,Low,Safe operations,2025-09-28T00:33:43.009182
3155,52.3,412.3,Sandstone,Medium,6.9,20,0.307953,30.8,Low,Safe operations,2025-09-28T00:33:43.009208
3156,59.4,276.9,Sandstone,Medium,59.6,9,0.419685,41.97,Medium,Caution advised,2025-09-28T00:33:43.009235
3157,70.5,169.3,Limestone,Medium,0.2,1,0.363825,36.38,Low,Safe operations,2025-09-28T00:33:43.009277
3158,51.1,535.4,Shale,Medium,2.0,5,0.43286,43.29,Medium,Caution advised,2025-09-28T00:33:43.009303
3159,46.8,392.7,Limestone,Medium,14.2,11,0.239856,23.99,Low,Safe operations,2025-09-28T00:33:43.009330
3160,49.2,705.0,Granite,High,13.0,12,0.353043,35.3,Low,Safe operations,2025-09-28T00:33:43.009371
3161,69.2,401.6,Shale,High,2.3,0,0.642795,64.28,Medium,Caution advised,2025-09-28T00:33:43.009399
3162,62.9,190.1,Limestone,High,1.8,4,0.344585,34.46,Low,Safe operations,2025-09-28T00:33:43.009441
3163,51.3,138.7,Sandstone,High,2.0,2,0.370861,37.09,Low,Safe operations,2025-09-28T00:33:43.009482
3164,41.7,382.6,Limestone,Medium,8.6,1,0.301093,30.11,Low,Safe operations,2025-09-28T00:33:43.009509
3165,42.7,367.4,Sandstone,Low,1.0,11,0.232525,23.25,Low,Safe operations,2025-09-28T00:33:43.009535
3166,49.5,494.6,Granite,Low,23.4,13,0.194905,19.49,Low,Safe operations,2025-09-28T00:33:43.009562
3167,41.9,260.2,Limestone,High,39.6,12,0.274469,27.45,Low,Safe operations,2025-09-28T00:33:43.009588
3168,59.1,496.0,Granite,Medium,1.0,10,0.273282,27.33,Low,Safe operations,2025-09-28T00:33:43.009614
3169,52.2,312.6,Limestone,High,22.6,2,0.358889,35.89,Low,Safe operations,2025-09-28T00:33:43.009640
3170,75.0,329.5,Sandstone,High,7.6,1,0.607279,60.73,Medium,Caution advised,2025-09-28T00:33:43.009666
3171,44.2,437.1,Sandstone,Low,2.4,22,0.245716,24.57,Low,Safe operations,2025-09-28T00:33:43.009692
3172,62.9,298.8,Granite,Medium,1.7,11,0.230024,23.0,Low,Safe operations,2025-09-28T00:33:43.009718
3173,51.9,286.1,Shale,High,14.8,0,0.464248,46.42,Medium,Caution advised,2025-09-28T00:33:43.009750
3174,44.7,361.4,Shale,High,5.3,8,0.384309,38.43,Low,Safe operations,2025-09-28T00:33:43.009783
3175,71.4,404.2,Granite,Low,11.1,1,0.338185,33.82,Low,Safe operations,2025-09-28T00:33:43.009810
3176,44.1,336.1,Granite,Medium,1.4,9,0.183936,18.39,Low,Safe operations,2025-09-28T00:33:43.009836
3177,62.9,284.4,Sandstone,Medium,10.8,27,0.319977,32.0,Low,Safe operations,2025-09-28T00:33:43.009863
3178,65.1,456.7,Shale,Medium,47.5,12,0.481009,48.1,Medium,Caution advised,2025-09-28T00:33:43.009890
3179,74.0,584.7,Limestone,Medium,52.3,6,0.522626,52.26,Medium,Caution advised,2025-09-28T00:33:43.009916
3180,48.0,531.5,Sandstone,Medium,10.9,29,0.333791,33.38,Low,Safe operations,2025-09-28T00:33:43.009942
3181,55.1,519.8,Sandstone,High,49.1,18,0.461837,46.18,Medium,Caution advised,2025-09-28T00:33:43.009968
3182,52.6,367.9,Granite,High,52.9,6,0.361471,36.15,Low,Safe operations,2025-09-28T00:33:43.009994
3183,62.5,454.6,Limestone,Low,7.9,5,0.308217,30.82,Low,Safe operations,2025-09-28T00:33:43.010021
3184,66.5,434.8,Granite,Medium,9.5,17,0.275987,27.6,Low,Safe operations,2025-09-28T00:33:43.010047
3185,54.7,361.6,Sandstone,Medium,9.4,5,0.355271,35.53,Low,Safe operations,2025-09-28T00:33:43.010073
3186,61.3,465.2,Limestone,Medium,13.0,8,0.330635,33.06,Low,Safe operations,2025-09-28T00:33:43.010099
3187,47.2,401.8,Limestone,Medium,22.6,13,0.244033,24.4,Low,Safe operations,2025-09-28T00:33:43.010124
3188,67.1,448.3,Granite,Low,0.6,29,0.235599,23.56,Low,Safe operations,2025-09-28T00:33:43.010150
3189,69.5,503.8,Limestone,Medium,13.5,1,0.445174,44.52,Medium,Caution advised,2025-09-28T00:33:43.010176
3190,60.4,712.3,Limestone,Medium,6.4,22,0.383402,38.34,Low,Safe operations,2025-09-28T00:33:43.010222
3191,62.9,476.4,Shale,Medium,12.7,17,0.413124,41.31,Medium,Caution advised,2025-09-28T00:33:43.010251
3192,46.2,397.6,Granite,Low,10.6,21,0.142363,14.24,Low,Safe operations,2025-09-28T00:33:43.010278
3193,65.4,513.6,Sandstone,High,1.8,24,0.437639,43.76,Medium,Caution advised,2025-09-28T00:33:43.010305
3194,31.4,267.8,Shale,Medium,34.1,14,0.301068,30.11,Low,Safe operations,2025-09-28T00:33:43.010348
3195,58.6,704.5,Shale,Low,44.8,0,0.582342,58.23,Medium,Caution advised,2025-09-28T00:33:43.010392
3196,52.2,195.3,Granite,Medium,8.6,19,0.158702,15.87,Low,Safe operations,2025-09-28T00:33:43.010435
3197,68.1,470.5,Granite,Medium,14.1,29,0.297688,29.77,Low,Safe operations,2025-09-28T00:33:43.010463
3198,58.7,457.0,Limestone,Medium,12.6,3,0.358195,35.82,Low,Safe operations,2025-09-28T00:33:43.010490
3199,50.2,315.3,Granite,Low,13.8,22,0.134483,13.45,Low,Safe operations,2025-09-28T00:33:43.010516
3200,69.6,149.5,Limestone,High,3.6,4,0.372604,37.26,Low,Safe operations,2025-09-28T00:33:43.010559
3201,34.9,431.6,Granite,High,10.9,1,0.310803,31.08,Low,Safe operations,2025-09-28T00:33:43.010600
3202,31.2,295.2,Limestone,Medium,58.4,5,0.321031,32.1,Low,Safe operations,2025-09-28T00:33:43.010641
3203,51.6,380.1,Shale,Low,8.9,22,0.292547,29.25,Low,Safe operations,2025-09-28T00:33:43.010669
3204,56.1,324.9,Sandstone,High,13.3,17,0.347154,34.72,Low,Safe operations,2025-09-28T00:33:43.010696
3205,30.9,571.2,Limestone,Low,10.1,1,0.302872,30.29,Low,Safe operations,2025-09-28T00:33:43.010738
3206,47.4,759.3,Sandstone,Medium,1.4,10,0.430002,43.0,Medium,Caution advised,2025-09-28T00:33:43.010794
3207,50.8,437.3,Limestone,Medium,3.5,19,0.249382,24.94,Low,Safe operations,2025-09-28T00:33:43.010824
3208,43.4,399.8,Shale,Medium,38.6,1,0.448798,44.88,Medium,Caution advised,2025-09-28T00:33:43.010854
3209,52.0,596.0,Limestone,Medium,2.9,23,0.30544,30.54,Low,Safe operations,2025-09-28T00:33:43.010888
3210,69.6,570.1,Granite,Medium,41.9,19,0.382362,38.24,Low,Safe operations,2025-09-28T00:33:43.010919
3211,69.9,570.7,Sandstone,High,7.5,6,0.525082,52.51,Medium,Caution advised,2025-09-28T00:33:43.010951
3212,60.4,429.2,Granite,Medium,11.4,19,0.246814,24.68,Low,Safe operations,2025-09-28T00:33:43.010987
3213,55.6,412.0,Limestone,Low,39.0,4,0.316166,31.62,Low,Safe operations,2025-09-28T00:33:43.011018
3214,65.3,503.1,Limestone,Medium,12.5,2,0.412265,41.23,Medium,Caution advised,2025-09-28T00:33:43.011052
3215,41.3,130.6,Shale,Medium,0.6,0,0.359255,35.93,Low,Safe operations,2025-09-28T00:33:43.011105
3216,59.6,360.5,Limestone,Medium,14.0,10,0.281064,28.11,Low,Safe operations,2025-09-28T00:33:43.011136
3217,62.1,316.1,Limestone,Medium,2.6,10,0.275899,27.59,Low,Safe operations,2025-09-28T00:33:43.011165
3218,62.9,481.8,Limestone,High,4.8,2,0.435417,43.54,Medium,Caution advised,2025-09-28T00:33:43.011204
3219,73.6,435.3,Sandstone,High,14.8,7,0.498232,49.82,Medium,Caution advised,2025-09-28T00:33:43.011234
3220,30.4,436.9,Limestone,Medium,31.1,1,0.328176,32.82,Low,Safe operations,2025-09-28T00:33:43.011277
3221,68.8,318.9,Granite,Low,41.5,16,0.257043,25.7,Low,Safe operations,2025-09-28T00:33:43.011305
3222,54.0,596.8,Sandstone,Medium,23.8,15,0.38846,38.85,Low,Safe operations,2025-09-28T00:33:43.011332
3223,83.8,468.6,Sandstone,Medium,12.4,13,0.492844,49.28,Medium,Caution advised,2025-09-28T00:33:43.011376
3224,70.8,327.4,Granite,Low,7.6,14,0.223345,22.33,Low,Safe operations,2025-09-28T00:33:43.011403
3225,51.2,518.4,Sandstone,Low,15.0,22,0.297113,29.71,Low,Safe operations,2025-09-28T00:33:43.011429
3226,45.4,585.8,Sandstone,Medium,59.8,23,0.441683,44.17,Medium,Caution advised,2025-09-28T00:33:43.011456
3227,58.3,756.4,Sandstone,Medium,0.7,7,0.486461,48.65,Medium,Caution advised,2025-09-28T00:33:43.011498
3228,48.7,309.2,Granite,Low,17.8,1,0.221476,22.15,Low,Safe operations,2025-09-28T00:33:43.011525
3229,64.6,578.6,Shale,Medium,0.3,12,0.456076,45.61,Medium,Caution advised,2025-09-28T00:33:43.011553
